179   alpha=1.5358 beta=1.5936,    на последнем интервале alpha=1.1716, beta= 0.9472
180   alpha=1.5213 beta=1.5223,    на последнем интервале alpha=1.1819, beta= 0.9439
181   alpha=1.5069 beta=1.4515,    на последнем интервале alpha=1.1922, beta= 0.9406
182   alpha=1.5486 beta=1.6054,    на последнем интервале alpha=1.1987, beta= 0.9386
183   alpha=1.5355 beta=1.4653,    на последнем интервале alpha=1.2191, beta= 0.9320
184   alpha=1.5513 beta=1.5489,    на последнем интервале alpha=1.2092, beta= 0.9352
185   alpha=1.5673 beta=1.6330,    на последнем интервале alpha=1.1993, beta= 0.9384
186   alpha=1.5685 beta=1.6354,    на последнем интервале alpha=1.1937, beta= 0.9402
187   alpha=1.5459 beta=1.6053,    на последнем интервале alpha=1.1931, beta= 0.9403
188   alpha=1.5351 beta=1.5343,    на последнем интервале alpha=1.1928, beta= 0.9404
189   alpha=1.5245 beta=1.4645,    на последнем интервале alpha=1.1925, beta= 0.9405
190   alpha=1.5494 beta=1.6435,    на последнем интервале alpha=1.2075, beta= 0.9357
191   alpha=1.5180 beta=1.5588,    на последнем интервале alpha=1.1418, beta= 0.9567
192   alpha=1.5105 beta=1.6185,    на последнем интервале alpha=1.1418, beta= 0.9567
193   alpha=1.5031 beta=1.6804,    на последнем интервале alpha=1.1418, beta= 0.9567
194   alpha=1.4868 beta=1.6125,    на последнем интервале alpha=1.1509, beta= 0.9538
195   alpha=1.4491 beta=1.5914,    на последнем интервале alpha=1.1245, beta= 0.9621
196   alpha=1.4671 beta=1.6770,    на последнем интервале alpha=1.1211, beta= 0.9631
197   alpha=1.4852 beta=1.7628,    на последнем интервале alpha=1.1176, beta= 0.9642
198   alpha=1.4272 beta=1.6479,    на последнем интервале alpha=1.1105, beta= 0.9664
199   alpha=1.4173 beta=1.6958,    на последнем интервале alpha=1.0624, beta= 0.9812
200   alpha=1.4105 beta=1.6938,    на последнем интервале alpha=1.0505, beta= 0.9848
201   alpha=1.4037 beta=1.6918,    на последнем интервале alpha=1.0385, beta= 0.9885
202   alpha=1.3718 beta=1.6816,    на последнем интервале alpha=1.0103, beta= 0.9969
203   alpha=1.3799 beta=1.7675,    на последнем интервале alpha=1.0649, beta= 0.9805
204   alpha=1.3330 beta=1.6464,    на последнем интервале alpha=1.0185, beta= 0.9945
205   alpha=1.3322 beta=1.7041,    на последнем интервале alpha=1.0132, beta= 0.9961
206   alpha=1.3315 beta=1.7632,    на последнем интервале alpha=1.0078, beta= 0.9977
207   alpha=1.2947 beta=1.6200,    на последнем интервале alpha=0.9916, beta= 1.0025
208   alpha=1.2903 beta=1.7479,    на последнем интервале alpha=0.9396, beta= 1.0177
209   alpha=1.2763 beta=1.7418,    на последнем интервале alpha=0.9529, beta= 1.0138
210   alpha=1.2623 beta=1.7355,    на последнем интервале alpha=0.9661, beta= 1.0100
211   alpha=1.2571 beta=1.6336,    на последнем интервале alpha=0.9464, beta= 1.0157
212   alpha=1.2347 beta=1.6781,    на последнем интервале alpha=0.9523, beta= 1.0140
213   alpha=1.2343 beta=1.7488,    на последнем интервале alpha=0.9376, beta= 1.0183
214   alpha=1.2339 beta=1.8207,    на последнем интервале alpha=0.9228, beta= 1.0225
215   alpha=1.2086 beta=1.7577,    на последнем интервале alpha=0.9051, beta= 1.0275
216   alpha=1.1974 beta=1.9057,    на последнем интервале alpha=0.8352, beta= 1.0471
217   alpha=1.1886 beta=1.8637,    на последнем интервале alpha=0.8646, beta= 1.0389
218   alpha=1.1798 beta=1.8213,    на последнем интервале alpha=0.8939, beta= 1.0307
219   alpha=1.1257 beta=1.7533,    на последнем интервале alpha=0.8443, beta= 1.0445
220   alpha=1.1401 beta=1.8944,    на последнем интервале alpha=0.8534, beta= 1.0420
221   alpha=1.1306 beta=1.8195,    на последнем интервале alpha=0.8701, beta= 1.0374
222   alpha=1.1212 beta=1.7444,    на последнем интервале alpha=0.8867, beta= 1.0327
223   alpha=1.1206 beta=1.8534,    на последнем интервале alpha=0.8430, beta= 1.0449
224   alpha=1.0974 beta=1.8129,    на последнем интервале alpha=0.8285, beta= 1.0489
225   alpha=1.0797 beta=1.8262,    на последнем интервале alpha=0.8238, beta= 1.0502
226   alpha=1.0621 beta=1.8401,    на последнем интервале alpha=0.8190, beta= 1.0515
227   alpha=1.0373 beta=1.6759,    на последнем интервале alpha=0.8073, beta= 1.0546
228   alpha=1.0635 beta=1.9539,    на последнем интервале alpha=0.8028, beta= 1.0558
229   alpha=1.0440 beta=1.9051,    на последнем интервале alpha=0.7922, beta= 1.0587
