живое время (секунд) 49762,00
Канал    набор
428  1.22700000000000E+0003
429  1.21000000000000E+0003
430  1.13500000000000E+0003
431  1.12700000000000E+0003
432  1.18000000000000E+0003
433  1.15400000000000E+0003
434  1.14300000000000E+0003
435  1.19400000000000E+0003
436  1.19200000000000E+0003
437  1.18500000000000E+0003
438  1.19600000000000E+0003
439  1.20500000000000E+0003
440  1.14900000000000E+0003
441  1.23600000000000E+0003
442  1.28400000000000E+0003
443  1.19700000000000E+0003
444  1.25000000000000E+0003
445  1.30100000000000E+0003
446  1.23300000000000E+0003
447  1.21800000000000E+0003
448  1.15600000000000E+0003
449  1.16300000000000E+0003
450  1.15200000000000E+0003
451  1.14600000000000E+0003
452  1.10000000000000E+0003
453  1.09500000000000E+0003
454  1.13800000000000E+0003
455  1.08300000000000E+0003
456  1.09700000000000E+0003
457  1.09400000000000E+0003
458  1.13900000000000E+0003
459  1.12700000000000E+0003
460  1.16700000000000E+0003
461  1.17200000000000E+0003
462  1.20400000000000E+0003
463  1.23300000000000E+0003
464  1.20700000000000E+0003
465  1.24400000000000E+0003
466  1.23600000000000E+0003
467  1.18700000000000E+0003
468  1.15500000000000E+0003
469  1.10700000000000E+0003
470  1.05700000000000E+0003
471  1.03700000000000E+0003
472  9.67000000000000E+0002
473  9.87000000000000E+0002
474  9.40000000000000E+0002
475  9.36000000000000E+0002
476  9.21000000000000E+0002
477  9.45000000000000E+0002
478  9.13000000000000E+0002
479  9.91000000000000E+0002
480  8.72000000000000E+0002
481  9.75000000000000E+0002
482  9.24000000000000E+0002
483  9.41000000000000E+0002
484  9.36000000000000E+0002
485  9.11000000000000E+0002
486  9.66000000000000E+0002
487  9.52000000000000E+0002
488  8.99000000000000E+0002
489  9.17000000000000E+0002
490  8.39000000000000E+0002
491  8.41000000000000E+0002
492  8.87000000000000E+0002
493  8.54000000000000E+0002
494  8.87000000000000E+0002
495  9.07000000000000E+0002
496  8.20000000000000E+0002
497  8.63000000000000E+0002
498  8.93000000000000E+0002
499  9.03000000000000E+0002
500  9.05000000000000E+0002
501  9.00000000000000E+0002
502  9.04000000000000E+0002
503  8.96000000000000E+0002
504  8.99000000000000E+0002
505  7.94000000000000E+0002
506  9.20000000000000E+0002
507  8.51000000000000E+0002
508  8.11000000000000E+0002
509  8.48000000000000E+0002
510  8.99000000000000E+0002
511  8.51000000000000E+0002
512  8.03000000000000E+0002
513  8.91000000000000E+0002
514  8.54000000000000E+0002
